Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,C1548
"C10, C5, C6, C7, C8, C9",0402,6,100nF,C1525
C11,0603,1,10uF,C96446
C12,0603,1,22uF,C59461
"C3, C4",0402,2,22pF,C1555
D1,D_SOD-323,1,1N5819WS,C191023
D2,SOT-23,1,"BAT54C,215",C37704
FB1,0603,1,FerriteBead,C1002
"J1, J2",USB_C_Receptacle_XKB_U262-16XN-4BVC11,2,USB_C_Receptacle_USB2.0_16P,C2988369
LED1,0603,1,LED,C2290
"R1, R2",0402,2,10kΩ,C25744
"R10, R11",0402,2,4.7kΩ,C25900
"R3, R4, R5",0402,3,5.1kΩ,C25905
"R6, R7",0603,2,56kΩ,C23206
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,C115360
U1,LQFP-48_7x7mm_P0.5mm,1,CH32V203C8T6,C3001172
U2,TSOT-23-5,1,RT9080-33GJ5,C841192
XTAL1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
XTAL2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
